iter,method,aux_loss,loss,time
297,megatron,0.01,6.255433,11593.4
298,megatron,0.01,6.229043,13629.3
299,megatron,0.01,6.241436,11275.2
300,megatron,0.01,6.235055,11830.9
301,megatron,0.01,6.268044,12801.3
302,megatron,0.01,6.241544,12844.2
303,megatron,0.01,6.226889,12161.1
304,megatron,0.01,6.2111,11978.1
305,megatron,0.01,6.208249,13068.6
306,megatron,0.01,6.234744,12547.0
307,megatron,0.01,6.211003,12547.1
308,megatron,0.01,6.203859,12278.7
309,megatron,0.01,6.208571,11643.1
310,megatron,0.01,6.194294,11529.5
311,megatron,0.01,6.182425,11479.7
312,megatron,0.01,6.178603,11349.9
313,megatron,0.01,6.189284,11687.4
314,megatron,0.01,6.17632,12356.9
315,megatron,0.01,6.183617,12439.0
316,megatron,0.01,6.166142,12163.7
317,megatron,0.01,6.169578,12494.6
318,megatron,0.01,6.157669,11981.0
319,megatron,0.01,6.176824,12205.4
320,megatron,0.01,6.176171,12419.2
321,megatron,0.01,6.171527,13493.2
322,megatron,0.01,6.158541,12004.3
323,megatron,0.01,6.139143,11729.7
324,megatron,0.01,6.120809,12731.3
325,megatron,0.01,6.114224,11659.0
326,megatron,0.01,6.142353,11797.7
327,megatron,0.01,6.14364,12389.3
328,megatron,0.01,6.114417,11194.7
329,megatron,0.01,6.132971,11450.0
330,megatron,0.01,6.116881,11824.0
331,megatron,0.01,6.109478,11969.9
332,megatron,0.01,6.108132,11999.0
333,megatron,0.01,6.093239,13957.1
334,megatron,0.01,6.097714,12541.7
335,megatron,0.01,6.072049,13224.8
336,megatron,0.01,6.094531,12144.3
337,megatron,0.01,6.080325,11933.9
338,megatron,0.01,6.073488,12569.5
339,megatron,0.01,6.068846,11656.3
340,megatron,0.01,6.040914,13054.5
341,megatron,0.01,6.051308,12422.4
342,megatron,0.01,6.067393,11574.3
343,megatron,0.01,6.065415,12724.2
344,megatron,0.01,6.053134,12578.2
345,megatron,0.01,6.015005,13154.5
346,megatron,0.01,6.042397,11958.9
347,megatron,0.01,6.049931,11349.9
348,megatron,0.01,6.003682,11603.3
349,megatron,0.01,6.020815,12972.2
350,megatron,0.01,6.016677,13076.6
351,megatron,0.01,6.01123,11925.3
352,megatron,0.01,6.018828,11901.9
353,megatron,0.01,5.995406,11298.5
354,megatron,0.01,6.001261,11830.6
355,megatron,0.01,6.005921,13045.1
356,megatron,0.01,5.986411,11109.2
357,megatron,0.01,5.990562,10575.0
358,megatron,0.01,6.001652,11316.4
359,megatron,0.01,5.985431,10677.2
360,megatron,0.01,5.972729,11349.7
361,megatron,0.01,5.96255,12651.7
362,megatron,0.01,5.947876,13487.7
363,megatron,0.01,5.966382,11035.9
364,megatron,0.01,5.951028,12335.9
365,megatron,0.01,5.970825,13211.8
366,megatron,0.01,5.964969,12390.9
367,megatron,0.01,5.936709,11925.9
368,megatron,0.01,5.938829,11913.6
369,megatron,0.01,5.95537,11705.2
370,megatron,0.01,5.965489,12398.0
371,megatron,0.01,5.940223,13159.7
372,megatron,0.01,5.914455,12051.8
373,megatron,0.01,5.935166,10972.8
374,megatron,0.01,5.918737,12081.2
375,megatron,0.01,5.929224,12256.5
376,megatron,0.01,5.903438,11277.3
377,megatron,0.01,5.905967,11206.4
378,megatron,0.01,5.914396,11204.2
379,megatron,0.01,5.890915,11451.7
380,megatron,0.01,5.902451,11628.8
381,megatron,0.01,5.881485,11202.4
382,megatron,0.01,5.888725,11658.7
383,megatron,0.01,5.882684,11972.1
384,megatron,0.01,5.846766,11689.8
385,megatron,0.01,5.854071,11412.3
386,megatron,0.01,5.837257,10721.1
387,megatron,0.01,5.869989,12316.0
388,megatron,0.01,5.835693,10869.1
389,megatron,0.01,5.86243,11554.5
390,megatron,0.01,5.858738,11351.6
391,megatron,0.01,5.833144,12970.0
392,megatron,0.01,5.839295,11347.2
393,megatron,0.01,5.838839,11442.5
394,megatron,0.01,5.856887,11615.4
395,megatron,0.01,5.831355,12779.3
396,megatron,0.01,5.834097,11767.1
397,megatron,0.01,5.819172,12505.5
398,megatron,0.01,5.841774,11801.5
399,megatron,0.01,5.830872,11606.3
400,megatron,0.01,5.841214,12571.6
401,megatron,0.01,5.845254,12415.4
402,megatron,0.01,5.806011,12321.4
403,megatron,0.01,5.799858,12572.9
404,megatron,0.01,5.837149,12189.3
405,megatron,0.01,5.788408,14750.7
406,megatron,0.01,5.804061,12155.2
407,megatron,0.01,5.790462,11650.7
408,megatron,0.01,5.799023,13285.1
409,megatron,0.01,5.79653,13461.2
410,megatron,0.01,5.769311,11138.5
411,megatron,0.01,5.770304,14119.1
412,megatron,0.01,5.768344,13314.0
413,megatron,0.01,5.749721,12327.9
414,megatron,0.01,5.761819,12411.6
415,megatron,0.01,5.76503,11879.0
416,megatron,0.01,5.769112,13948.9
